,Breast Milk,Formula,Wet,Dirty,Other,,,
1/21/2022,,50,2,3,,,,
1/22/2022,1,218,8,7,,,,
1/23/2022,76,215,6,7,,,,
1/24/2022,35,434,8,6,,,,
1/25/2022,40,458,7,7,,,,
1/26/2022,210,425,9,4,,,,
1/27/2022,100,615,6,4,,,,
1/28/2022,200,565,8,4,,,,
1/29/2022,420,275,7,6,80,spitup,,
1/30/2022,445,180,8,6,,,,
1/31/2022,2,530,4,3,20,spitup,,
2/1/2022,70,530,7,4,,,,
2/2/2022,100,495,6,6,,,,
2/3/2022,270,390,8,4,,,,
2/4/2022,120,355,6,2,,,,
2/5/2022,200,480,6,1,,,,
2/6/2022,0,640,5,4,,,,
2/7/2022,0,550,5,1,,,,
2/8/2022,0,625,6,3,,,,
2/9/2022,120,515,6,4,,,,
2/10/2022,0,435,3,1,,,,
2/11/2022,240,365,5,1,,,,
2/12/2022,290,460,3,3,,,,
2/13/2022,210,480,7,1,,,,
2/14/2022,300,401,6,3,,,,
2/15/2022,75,570,7,2,,,,
2/16/2022,330,340,6,2,,,,
2/17/2022,350,305,7,0,,,,
2/18/2022,300,280,5,1,,,,
2/19/2022,305,370,6,2,,,,
2/20/2022,244,416,6,1,,,,
2/21/2022,180,416,4,1,,,,
2/22/2022,240,400,6,1,,,,
2/23/2022,200,460,5,0,,,,
2/24/2022,320,360,4,4,,,,
2/25/2022,180,420,4,1,,,,
2/26/2022,210,440,4,1,,,,
2/27/2022,270,410,6,1,,,,
2/28/2022,190,420,7,0,,,,
3/1/2022,340,330,7,1,,,,
3/2/2022,370,450,8,0,,,,
3/3/2022,100,540,6,1,,,,
3/4/2022,120,515,5,2,,,,
3/5/2022,0,660,7,0,,,,
3/6/2022,0,785,5,3,,,,
3/7/2022,0,730,6,1,,,12.5,lb weight at doc
3/8/2022,0,795,4,2,,,,
3/9/2022,0,570,5,3,,,,
3/10/2022,0,700,5,3,,,,
3/11/2022,0,715,3,2,,,,
3/12/2022,0,765,5,2,,,,
3/13/2022,0,580,3,3,,,,
3/14/2022,0,730,3,3,,,,
3/15/2022,0,775,2,2,,,,
3/16/2022,0,510,3,3,,,,
3/17/2022,,,,,,,,
3/18/2022,,,,,,,,
,,,,,,,,
,7773,26443,,,,,,
